Item Name,Item ID,Item meta,Has NBT,Display Name
ImmersiveEngineering:ore,448,0,false,Copper Ore
ImmersiveEngineering:ore,448,1,false,Bauxite Ore
ImmersiveEngineering:ore,448,2,false,Lead Ore
ImmersiveEngineering:ore,448,3,false,Silver Ore
ImmersiveEngineering:ore,448,4,false,Nickel Ore
ImmersiveEngineering:storage,449,0,false,Block of Copper
ImmersiveEngineering:storage,449,1,false,Block of Aluminium
ImmersiveEngineering:storage,449,2,false,Block of Lead
ImmersiveEngineering:storage,449,3,false,Block of Silver
ImmersiveEngineering:storage,449,4,false,Block of Nickel
ImmersiveEngineering:storage,449,5,false,Block of Constantan
ImmersiveEngineering:storage,449,6,false,Block of Electrum
ImmersiveEngineering:storage,449,7,false,Block of Steel
ImmersiveEngineering:storage,449,8,false,Copper Wire Coil
ImmersiveEngineering:storage,449,9,false,Electrum Wire Coil
ImmersiveEngineering:storage,449,10,false,High-Voltage Wire Coil
ImmersiveEngineering:storageSlab,450,0,false,Copper Slab
ImmersiveEngineering:storageSlab,450,1,false,Aluminium Slab
ImmersiveEngineering:storageSlab,450,2,false,Lead Slab
ImmersiveEngineering:storageSlab,450,3,false,Silver Slab
ImmersiveEngineering:storageSlab,450,4,false,Nickel Slab
ImmersiveEngineering:storageSlab,450,5,false,Constantan Slab
ImmersiveEngineering:storageSlab,450,6,false,Electrum Slab
ImmersiveEngineering:storageSlab,450,7,false,Steel Slab
ImmersiveEngineering:metalDevice,451,0,false,LV Wire Connector
ImmersiveEngineering:metalDevice,451,1,false,LV Capacitor
ImmersiveEngineering:metalDevice,451,1,true,LV Capacitor
ImmersiveEngineering:metalDevice,451,2,false,MV Wire Connector
ImmersiveEngineering:metalDevice,451,3,false,MV Capacitor
ImmersiveEngineering:metalDevice,451,3,true,MV Capacitor
ImmersiveEngineering:metalDevice,451,4,false,Transformer
ImmersiveEngineering:metalDevice,451,5,false,HV Wire Relay
ImmersiveEngineering:metalDevice,451,6,false,HV Wire Connector
ImmersiveEngineering:metalDevice,451,7,false,HV Capacitor
ImmersiveEngineering:metalDevice,451,7,true,HV Capacitor
ImmersiveEngineering:metalDevice,451,8,false,HV Transformer
ImmersiveEngineering:metalDevice,451,9,false,Kinetic Dynamo
ImmersiveEngineering:metalDevice,451,10,false,Thermoelectric Generator
ImmersiveEngineering:metalDevice,451,11,false,Conveyor Belt
ImmersiveEngineering:metalDevice,451,12,false,External Heater
ImmersiveEngineering:metalDevice,451,13,false,Item Router
ImmersiveEngineering:metalDevice,451,14,false,Core Sample Drill
ImmersiveEngineering:metalDevice2,452,0,false,Breaker Switch
ImmersiveEngineering:metalDevice2,452,3,false,Powered Lantern
ImmersiveEngineering:metalDevice2,452,4,false,Floodlight
ImmersiveEngineering:metalDevice2,452,5,false,Fluid Pipe
ImmersiveEngineering:metalDevice2,452,6,false,Fluid Pump
ImmersiveEngineering:metalDecoration,453,0,false,Steel Fence
ImmersiveEngineering:metalDecoration,453,1,false,Steel Scaffolding
ImmersiveEngineering:metalDecoration,453,2,false,Lantern
ImmersiveEngineering:metalDecoration,453,3,false,Structural Arm
ImmersiveEngineering:metalDecoration,453,4,false,Radiator Block
ImmersiveEngineering:metalDecoration,453,5,false,Heavy Engineering Block
ImmersiveEngineering:metalDecoration,453,6,false,Generator Block
ImmersiveEngineering:metalDecoration,453,7,false,Light Engineering Block
ImmersiveEngineering:metalDecoration,453,8,false,Structural Cable Connector
ImmersiveEngineering:metalDecoration,453,9,false,Steel Wall Mount
ImmersiveEngineering:metalDecoration,453,10,false,Sheet Metal Block
ImmersiveEngineering:metalMultiblock,454,0,false,Lightning Rod Base
ImmersiveEngineering:metalMultiblock,454,2,false,Industrial Squeezer
ImmersiveEngineering:metalMultiblock,454,3,false,Fermenter
ImmersiveEngineering:woodenDevice,455,0,false,Wooden Post
